"county_fips","state","county","total_population","median_household_income","poverty_rate","median_age","median_gross_rent"
"12057","Florida","Hillsborough",1489634,75011,13.195051607844638,37.8,1543
"12059","Florida","Holmes",19626,48236,14.393939393939394,42.4,823
"12061","Florida","Indian River",163856,71049,11.44147697161661,55.0,1284
"12063","Florida","Jackson",47652,47327,18.822457971299876,42.9,846
"12065","Florida","Jefferson",14713,56984,20.317366157496664,47.0,790
"12067","Florida","Lafayette",8035,60692,17.785184063020754,41.8,880
"12069","Florida","Lake",398696,69956,9.457729738515614,46.7,1468
"12071","Florida","Lee",792692,73099,11.727995674661795,49.3,1597
"12073","Florida","Leon",295335,65074,18.530283549245656,31.9,1230
"12075","Florida","Levy",44276,53805,17.16061185468451,47.1,826
"12077","Florida","Liberty",7650,53824,20.809808033553796,39.1,968
"12079","Florida","Madison",18113,48176,20.93608146239725,44.9,819
"12081","Florida","Manatee",416020,75792,10.40066188906058,49.4,1549
"12083","Florida","Marion",387697,58535,14.57753827052872,48.2,1174
"12085","Florida","Martin",160464,80701,11.355568160814782,53.2,1499
"12086","Florida","Miami-Dade",2685296,68694,14.932170150631757,40.8,1731
"12087","Florida","Monroe",81840,82430,10.40458138010365,48.9,1959
"12089","Florida","Nassau",94653,88900,9.237153433396273,46.3,1335
"12091","Florida","Okaloosa",214281,79097,9.28346101847679,37.3,1475
"12093","Florida","Okeechobee",40249,52288,19.037824553905335,40.7,974
"12095","Florida","Orange",1440471,77011,13.045405267293633,36.4,1675
"12097","Florida","Osceola",406943,68711,12.454207006637816,37.0,1651
"12099","Florida","Palm Beach",1507453,81115,11.08089523857081,45.4,1818
"12101","Florida","Pasco",588758,67384,11.096565943293367,43.7,1372
"12103","Florida","Pinellas",960565,70293,11.441274404323993,48.9,1525
"12105","Florida","Polk",760961,63644,14.713802723026397,39.6,1272
"12107","Florida","Putnam",74235,47256,23.872471717518,45.0,902
"12109","Florida","St. Johns",292243,106169,6.707555561708888,44.0,1775
"12111","Florida","St. Lucie",346237,69027,11.643789618754798,45.3,1489
"12113","Florida","Santa Rosa",193719,88968,8.442102805721804,40.0,1445
"12115","Florida","Sarasota",449011,80633,8.193488059626969,57.3,1715
"12117","Florida","Seminole",474912,83030,9.207692373177148,39.8,1686
"12119","Florida","Sumter",137536,73297,9.064478964501388,68.4,1225
"12121","Florida","Suwannee",44484,55479,14.151900526154353,42.5,849
"12123","Florida","Taylor",21422,44985,17.31357706555001,43.8,878
"12125","Florida","Union",15551,64922,18.653576437587656,40.1,846
"12127","Florida","Volusia",568229,66581,12.24289592760181,46.6,1368
"12129","Florida","Wakulla",34608,74183,5.586095135203839,42.5,1155
"12131","Florida","Walton",79846,79281,11.428424872725408,43.8,1674
"12133","Florida","Washington",25259,52723,18.948720219643963,41.6,884
"13001","Georgia","Appling",18426,43728,23.814786164217043,39.9,711
"13003","Georgia","Atkinson",8261,38438,25.042506679621084,36.2,620
"13005","Georgia","Bacon",11129,50310,20.914479254868755,39.0,789
"13007","Georgia","Baker",2830,44405,29.39929328621908,48.1,643
"13009","Georgia","Baldwin",43669,55413,21.991583404332225,36.4,865
"13011","Georgia","Banks",18757,68830,12.836172720454304,42.4,788
"13013","Georgia","Barrow",86982,77477,10.191267276034246,36.4,1197
"13015","Georgia","Bartow",111153,79431,10.08281140633948,38.0,1202
